YEAR,% DIV 9,% X,FEMALE CANDIDATES,FEMALE % DIV1 ,FEMALE % DIV2,FEMALE % DIV3,FEMALE % DIV4,FEMALE % DIV7,FEMALE % DIV9
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,73,20.5,37.0,37.0,5.5,0.0,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,38,18.4,21.1,42.1,18.4,0.0,0.0
2014,0.0,0.0,20,15.0,40.0,40.0,5.0,0.0,0.0
2014,0.0,0.0,45,17.8,46.7,31.1,4.4,0.0,0.0
2014,0.0,0.9,47,21.3,55.3,23.4,0.0,0.0,0.0
2014,0.5,0.0,115,25.2,41.7,20.0,12.2,0.0,0.9
2014,0.0,0.0,126,23.8,34.1,33.3,8.7,0.0,0.0
2014,0.0,0.0,18,33.3,50.0,16.7,0.0,0.0,0.0
2014,0.0,0.0,22,18.2,63.6,18.2,0.0,0.0,0.0
2014,0.0,1.4,35,20.0,40.0,31.4,5.7,0.0,0.0
2014,0.0,0.0,44,27.3,34.1,25.0,13.6,0.0,0.0
2014,0.0,0.0,32,21.9,25.0,15.6,37.5,0.0,0.0
2014,0.0,0.0,65,29.2,27.7,21.5,20.0,1.5,0.0
2014,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,69,14.5,29.0,33.3,23.2,0.0,0.0
2014,0.0,0.0,8,25.0,62.5,12.5,0.0,0.0,0.0
2014,0.0,1.4,36,11.1,44.4,22.2,19.4,0.0,0.0
2014,0.0,0.0,83,16.9,30.1,33.7,19.3,0.0,0.0
2014,0.0,1.8,24,20.8,29.2,33.3,12.5,0.0,0.0
2014,0.0,0.5,100,20.0,55.0,20.0,5.0,0.0,0.0
2014,0.0,0.0,23,8.7,21.7,47.8,21.7,0.0,0.0
2014,0.0,0.0,47,19.1,61.7,17.0,2.1,0.0,0.0
2014,0.0,0.7,72,18.1,40.3,27.8,12.5,0.0,0.0
2014,0.5,1.6,108,19.4,22.2,31.5,25.0,0.0,0.9
2014,0.4,0.0,85,22.4,29.4,30.6,17.6,0.0,0.0
2014,0.0,0.0,63,28.6,36.5,23.8,11.1,0.0,0.0
2014,0.0,2.4,29,24.1,37.9,31.0,6.9,0.0,0.0
2014,0.0,1.4,38,31.6,39.5,18.4,10.5,0.0,0.0
2014,0.0,3.2,31,25.8,41.9,29.0,0.0,0.0,0.0
2014,0.0,1.1,23,13.0,69.6,13.0,4.3,0.0,0.0
2014,0.0,0.0,67,17.9,46.3,29.9,6.0,0.0,0.0
2014,0.0,0.0,23,21.7,8.7,39.1,30.4,0.0,0.0
2014,1.0,0.0,44,4.5,22.7,34.1,38.6,0.0,0.0
2014,1.2,0.0,94,23.4,26.6,21.3,27.7,0.0,1.1
2014,0.0,0.0,25,20.0,8.0,36.0,36.0,0.0,0.0
2014,0.0,0.0,76,10.5,57.9,21.1,10.5,0.0,0.0
2014,0.0,0.0,58,15.5,50.0,19.0,15.5,0.0,0.0
2014,0.8,0.0,63,17.5,39.7,36.5,4.8,0.0,1.6
